=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [pw09] gen 1: val_logprob=-0.8493 val_acc=0.8819
  [pw09] gen 400: val_logprob=-0.0427 val_acc=0.9959
  [pw09] gen 800: val_logprob=-0.0577 val_acc=0.9959
  [pw09] gen 1200: val_logprob=-0.1375 val_acc=0.9917
  [pw09] gen 1600: val_logprob=-0.0902 val_acc=0.9969
  [pw09] gen 2000: val_logprob=-0.2491 val_acc=0.9949
  [pw09] gen 2400: val_logprob=-0.0979 val_acc=0.9969
  [pw09] gen 2800: val_logprob=-0.2957 val_acc=0.9938
[pairwise 0v*] done
  [pw12] gen 1: val_logprob=-0.8138 val_acc=0.9083
  [pw12] gen 400: val_logprob=-0.0026 val_acc=1.0000
  [pw12] gen 800: val_logprob=-0.0021 val_acc=1.0000
  [pw12] gen 1200: val_logprob=-0.0057 val_acc=0.9990
  [pw12] gen 1600: val_logprob=-0.0196 val_acc=0.9980
  [pw12] gen 2000: val_logprob=-0.0302 val_acc=0.9950
  [pw12] gen 2400: val_logprob=-0.0371 val_acc=0.9970
  [pw12] gen 2800: val_logprob=-0.0331 val_acc=0.9990
  [pw13] gen 1: val_logprob=-0.8718 val_acc=0.8796
  [pw13] gen 400: val_logprob=-0.0327 val_acc=0.9991
  [pw13] gen 800: val_logprob=-0.0625 val_acc=0.9981
  [pw13] gen 1200: val_logprob=-0.0780 val_acc=0.9971
  [pw13] gen 1600: val_logprob=-0.0860 val_acc=0.9980
  [pw13] gen 2000: val_logprob=-0.0583 val_acc=0.9990
  [pw13] gen 2400: val_logprob=-0.0296 val_acc=0.9991
  [pw13] gen 2800: val_logprob=-0.0314 val_acc=0.9980
  [pw14] gen 1: val_logprob=-0.7769 val_acc=0.8592
  [pw14] gen 400: val_logprob=-0.1987 val_acc=0.9920
  [pw14] gen 800: val_logprob=-0.1360 val_acc=0.9920
  [pw14] gen 1200: val_logprob=-0.2167 val_acc=0.9940
  [pw14] gen 1600: val_logprob=-0.3069 val_acc=0.9923
  [pw14] gen 2000: val_logprob=-0.1214 val_acc=0.9951
  [pw14] gen 2400: val_logprob=-0.2280 val_acc=0.9960
  [pw14] gen 2800: val_logprob=-0.2758 val_acc=0.9950
  [pw15] gen 1: val_logprob=-0.7690 val_acc=0.9111
  [pw15] gen 400: val_logprob=-0.0674 val_acc=0.9969
  [pw15] gen 800: val_logprob=-0.2178 val_acc=0.9956
  [pw15] gen 1200: val_logprob=-0.1872 val_acc=0.9967
  [pw15] gen 1600: val_logprob=-0.0655 val_acc=0.9989
  [pw15] gen 2000: val_logprob=-0.0780 val_acc=0.9978
  [pw15] gen 2400: val_logprob=-0.0767 val_acc=0.9978
  [pw15] gen 2800: val_logprob=-0.0770 val_acc=0.9978
  [pw16] gen 1: val_logprob=-0.8716 val_acc=0.8990
  [pw16] gen 400: val_logprob=-0.0064 val_acc=0.9980
  [pw16] gen 800: val_logprob=-0.0566 val_acc=0.9991
